time,open,high,low,close,Volume
2025-10-23,7.1252,7.1252,7.1216,7.1216,1
2025-10-24,7.1216,7.1252,7.1206,7.1206,1
2025-10-27,7.1206,7.1206,7.1037,7.1097,1
2025-10-28,7.1097,7.1097,7.0984,7.0984,1
2025-10-29,7.097,7.1018,7.097,7.0975,1
2025-10-30,7.0986,7.1136,7.0961,7.1092,1
2025-10-31,7.1092,7.1177,7.1085,7.1164,1
2025-11-03,7.1164,7.1229,7.1138,7.1196,1
2025-11-04,7.1196,7.1295,7.1196,7.129,1
2025-11-05,7.129,7.1325,7.1244,7.1255,1
2025-11-06,7.1255,7.1255,7.1175,7.1182,1
2025-11-07,7.1182,7.1231,7.1182,7.1214,1
2025-11-10,7.1214,7.1214,7.1174,7.1188,1
2025-11-11,7.1193,7.123,7.1163,7.1163,1
2025-11-12,7.1163,7.1195,7.112,7.112,1
2025-11-13,7.1115,7.113,7.0944,7.0946,1
2025-11-14,7.0956,7.1008,7.0913,7.0987,1
2025-11-17,7.0987,7.1075,7.0987,7.1069,1
2025-11-18,7.1069,7.1148,7.1058,7.1075,1
2025-11-19,7.1069,7.1125,7.1069,7.1101,1
2025-11-20,7.1101,7.1176,7.1094,7.1155,1
2025-11-21,7.1155,7.1155,7.1061,7.1061,1
2025-11-24,7.1061,7.1087,7.1015,7.1015,1
2025-11-25,7.1015,7.1015,7.084,7.084,1
2025-11-26,7.084,7.0872,7.0753,7.0753,1
2025-11-27,7.0753,7.083,7.0753,7.0785,1
2025-11-28,7.0808,7.0828,7.0745,7.0745,1
2025-12-01,7.0745,7.0751,7.0712,7.0712,1
2025-12-02,7.0712,7.0767,7.0691,7.0695,1
2025-12-03,7.0695,7.0695,7.0618,7.0631,1
2025-12-04,7.0631,7.0714,7.0631,7.0709,1
2025-12-05,7.0709,7.0719,7.0678,7.0696,1
2025-12-08,7.0691,7.0712,7.0674,7.0705,1
2025-12-09,7.0713,7.0717,7.0628,7.0628,1
2025-12-10,7.0628,7.0666,7.0608,7.0635,1
2025-12-11,7.0635,7.0635,7.0572,7.0574,1
2025-12-12,7.0574,7.0574,7.0543,7.0543,1
2025-12-15,7.0543,7.0551,7.0467,7.0467,1
2025-12-16,7.0467,7.0467,7.0412,7.0412,1
2025-12-17,7.0412,7.0463,7.0412,7.0429,1
2025-12-18,7.0429,7.0451,7.0405,7.0406,1
2025-12-19,7.0406,7.0417,7.0403,7.0403,1
2025-12-22,7.0403,7.0408,7.0361,7.0361,1
2025-12-23,7.0361,7.0372,7.0275,7.0275,1
2025-12-24,7.0275,7.0289,7.013,7.0137,1
2025-12-25,7.0126,7.0145,7.0053,7.0053,1
2025-12-26,7.008,7.0104,7.0058,7.0058,1
2025-12-29,7.0058,7.0169,7.0051,7.0051,1
2025-12-30,7.0051,7.007,6.9876,6.9956,1
2025-12-31,6.9921,7.0012,6.987,6.9926,1
2026-01-01,6.9926,6.9926,6.9885,6.9926,1
2026-01-02,6.9926,6.9931,6.9885,6.9926,1
2026-01-05,6.9926,6.9976,6.9779,6.9875,1
2026-01-06,6.9875,6.9875,6.9789,6.9834,1
2026-01-07,6.9829,7.0048,6.9829,6.9965,1
2026-01-08,6.996,6.9963,6.9805,6.983,1
2026-01-09,6.983,6.9832,6.9767,6.9767,1
2026-01-12,6.9767,6.9767,6.9725,6.9725,1
2026-01-13,6.9755,6.9775,6.9748,6.977,1
2026-01-14,6.977,6.9793,6.9722,6.973,1
2026-01-15,6.9725,6.9743,6.9655,6.9655,1
2026-01-16,6.9655,6.9698,6.9655,6.9676,1
